Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,133.52,133.61,126.76,129.41,127.68,143301900
2021-01-05,128.89,131.74,128.43,131.01,129.26,97664900
2021-01-06,127.72,131.05,126.38,126.6,124.91,155088000
2021-01-07,128.36,131.63,127.86,130.92,129.17,109578200
2021-01-08,132.43,132.63,130.23,132.05,130.28,105158200
2021-01-11,129.19,130.17,128.5,128.98,127.26,100384500
2021-01-12,128.5,129.69,126.86,128.8,127.08,91951100
2021-01-13,128.76,131.45,128.49,130.89,129.14,88636800
2021-01-14,130.8,131.0,128.76,128.91,127.19,90221800
2021-01-15,128.78,130.22,127.0,127.14,125.44,111598500
2021-01-19,127.78,128.71,126.94,127.83,126.12,90757300
2021-01-20,128.66,132.49,128.55,132.03,130.26,104319500
2021-01-21,133.8,139.67,133.59,136.87,135.04,120150900
2021-01-22,136.28,139.85,135.02,139.07,137.21,114459400
2021-01-25,143.07,145.09,136.54,142.92,141.01,157611700
2021-01-26,143.6,144.3,141.37,143.16,141.25,98390600
2021-01-27,143.43,144.3,140.41,142.06,140.16,140843800
2021-01-28,139.52,141.99,136.7,137.09,135.26,142621100
2021-01-29,135.83,136.74,130.21,131.96,130.2,177523800
